"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"761088375029846016","","","2016-08-04 06:36:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Talking about ""Registers"" useful boxes to hold things, one of which is text. https://t.co/L9LRKUEZtS","","","","http://twitter.com/emacs_gifs/status/761088375029846016/photo/1"
"761078367835664384","","","2016-08-04 05:56:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Reworked some teletype insert code - check it out at https://t.co/6LxjeIygmd","","","","https://github.com/ocodo/.emacs.d/blob/master/plugins/teletype-text.el"
"760725810286321664","","","2016-08-03 06:35:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Simple refactoring with Wgrep, Ag and iedit https://t.co/Hs4DopIBEf","","","","http://twitter.com/emacs_gifs/status/760725810286321664/photo/1"
"760681204131647488","","","2016-08-03 03:38:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Git timemachine continued - and a recap https://t.co/fs5SbYyfdM","","","","http://twitter.com/emacs_gifs/status/760681204131647488/photo/1"
"760498832501112832","","","2016-08-02 15:33:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Emacs ""window"" control &amp; terms, note: a ""Frame"" is the OS window, when split into views, each is called a ""Window"" https://t.co/lRjTeCZ5yx","","","","http://twitter.com/emacs_gifs/status/760498832501112832/photo/1"
"760392782724734976","","","2016-08-02 08:32:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","delete-blank-lines C-x C-o https://t.co/nCVLo8ksi7","","","","http://twitter.com/emacs_gifs/status/760392782724734976/photo/1"
"760392651543764996","","","2016-08-02 08:31:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","M-x git-timemachine super handy git history browsing in place https://t.co/jz4GFIPeEg","","","","http://twitter.com/emacs_gifs/status/760392651543764996/photo/1"
"760390258047328257","","","2016-08-02 08:22:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","git gutter allows in place stage / revert / commit / view of git changes https://t.co/7PGmPku6zK","","","","http://twitter.com/emacs_gifs/status/760390258047328257/photo/1"
"760364353786818560","760362502383366144","77184614","2016-08-02 06:39:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@fpbhb I learned about map replace last year also after 30+ years... amazing.","","","",""
"760318861954519040","","","2016-08-02 03:38:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","M-x map-query-replace-regexp - use a functional Mapping style to make replacements - part 1 https://t.co/eh7fbazKmE","","","","http://twitter.com/emacs_gifs/status/760318861954519040/photo/1"
